Title,Genre,Runtime,Year,Director,IMDB Rating,IMDB Votes,Rotten Tomatoes,Actors,IMDB ID,Type,Rated,Released,Writer,Country,Awards,Plot,Watched,I Want to Watch
Slumberland,"Adventure, Comedy, Drama",117 min,2022,Francis Lawrence,6.7,"27,124",40%,"Jason Momoa, Marlow Barkley, Chris O'Dowd",tt13320662,movie,PG,18-Nov-22,"David Guion, Michael Handelman",United States,3 nominations,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.",no,yes,
Happening,Drama,100 min,2021,Audrey Diwan,7.4,"10,099",99%,"Anamaria Vartolomei, Kacey Mottet Klein, Luàna Bajrami",tt13880104,movie,R,24-Nov-21,"Marcia Romano, Audrey Diwan, Annie Ernaux",France,Nominated for 1 BAFTA Award25 wins & 46 nominations total,"An adaptation of Annie Ernaux's novel of the same name, looking back on her experience with abortion when it was still illegal in France in the 1960s.",no,yes,
Killing Them Softly,"Crime, Drama, Thriller",97 min,2012,Andrew Dominik,6.2,"149,175",74%,"Brad Pitt, Ray Liotta, Richard Jenkins",tt1764234,movie,R,30-Nov-12,"Andrew Dominik, George V. Higgins",United States,3 wins & 9 nominations,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",no,yes,
EO,Drama,88 min,2022,Jerzy Skolimowski,6.8,"11,364",96%,"Hola, Tako, Marietta",tt19652910,movie,Not Rated,21-Jan-23,"Ewa Piaskowska, Jerzy Skolimowski","Poland, Italy, United Kingdom",Nominated for 1 Oscar. 21 wins & 55 nominations total,"Follows a donkey who encounters on his journeys good and bad people, experiences joy and pain, exploring a vision of modern Europe through his eyes.",no,yes,
Aftersun,Drama,102 min,2022,Charlotte Wells,7.7,"69,832",96%,"Paul Mescal, Frankie Corio, Celia Rowlson-Hall",tt19770238,movie,R,18-Nov-22,Charlotte Wells,"United Kingdom, United States",Nominated for 1 Oscar. 81 wins & 162 nominations total,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she d...,no,yes,
The Imaginarium of Doctor Parnassus,"Adventure, Comedy, Fantasy",123 min,2009,Terry Gilliam,6.8,"152,203",64%,"Christopher Plummer, Lily Cole, Heath Ledger",tt1054606,movie,PG-13,8-Jan-10,"Terry Gilliam, Charles McKeown","United Kingdom, France, Canada",Nominated for 2 Oscars. 5 wins & 23 nominations total,A traveling theater company gives its audience much more than they were expecting.,no,yes,
Emily,"Biography, Drama, History",130 min,2022,Frances O'Connor,6.8,"5,650",N/A,"Emma Mackey, Oliver Jackson-Cohen, Fionn Whitehead",tt12374656,movie,R,14-Oct-22,Frances O'Connor,"United Kingdom, United States",5 wins & 10 nominations,"""Emily"" imagines the transformative, exhilarating, and uplifting journey to womanhood of a rebel and a misfit, one of the world's most famous, enigmatic, and provocative writers, who died, too soon, at age 30.",no,yes,
Locke,Drama,85 min,2013,Steven Knight,7.1,"155,179",91%,"Tom Hardy, Olivia Colman, Ruth Wilson",tt2692904,movie,R,18-Apr-14,Steven Knight,"United Kingdom, United States",7 wins & 33 nominations,"Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence.",no,yes,
Victoria,"Crime, Drama, Romance",138 min,2015,Sebastian Schipper,7.6,"60,989",82%,"Laia Costa, Frederick Lau, Franz Rogowski",tt4226388,movie,Not Rated,11-Jun-15,"Sebastian Schipper, Olivia Neergaard-Holm, Eike Frederik Schulz",Germany,17 wins & 21 nominations,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,no,yes,
Night on Earth,"Comedy, Drama",129 min,1991,Jim Jarmusch,7.7,"63,425",76%,"Winona Ryder, Gena Rowlands, Lisanne Falk",tt0102536,movie,R,12-Dec-91,Jim Jarmusch,"France, United Kingdom, Germany, United States, Japan",1 win & 1 nomination,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,no,yes,
The Worst Person in the World,"Comedy, Drama, Romance",128 min,2021,Joachim Trier,7.8,"83,177",96%,"Renate Reinsve, Anders Danielsen Lie, Herbert Nordrum",tt10370710,movie,R,13-Oct-21,"Eskil Vogt, Joachim Trier","Norway, France, Sweden, Denmark",Nominated for 2 Oscars. 43 wins & 102 nominations total,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",no,yes,
Rushmore,"Comedy, Drama, Romance",93 min,1998,Wes Anderson,7.6,"192,705",90%,"Jason Schwartzman, Bill Murray, Olivia Williams",tt0128445,movie,R,19-Feb-99,"Wes Anderson, Owen Wilson",United States,16 wins & 16 nominations,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta.",no,yes,
The Kite Runner,Drama,128 min,2007,Marc Forster,7.6,"81,466",65%,"Khalid Abdalla, Ahmad Khan Mahmoodzada, Atossa Leoni",tt0419887,movie,PG-13,11-Jan-08,"David Benioff, Khaled Hosseini","United Kingdom, China, United States",Nominated for 1 Oscar. 6 wins & 25 nominations total,"After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble.",no,yes,
In Bruges,"Comedy, Crime, Drama",107 min,2008,Martin McDonagh,7.9,"448,658",84%,"Colin Farrell, Brendan Gleeson, Ciarán Hinds",tt0780536,movie,R,29-Feb-08,Martin McDonagh,"United Kingdom, United States",Nominated for 1 Oscar. 24 wins & 55 nominations total,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",no,yes,
The Legend of 1900,"Drama, Music, Romance",169 min,1998,Giuseppe Tornatore,8,"67,268",56%,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry",tt0120731,movie,R,28-Oct-98,"Alessandro Baricco, Giuseppe Tornatore",Italy,22 wins & 10 nominations,"A baby boy discovered on an ocean liner in 1900 grows into a musical prodigy, never setting foot on land.",no,yes,
Pieces of a Woman,Drama,126 min,2020,Kornél Mundruczó,7,"53,706",75%,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn",tt11161474,movie,R,7-Jan-21,Kata Wéber,"Canada, Hungary, United States",Nominated for 1 Oscar. 9 wins & 63 nominations total,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",no,yes,
Predestination,"Action, Drama, Sci-Fi",97 min,2014,"Michael Spierig, Peter Spierig",7.4,"292,994",84%,"Ethan Hawke, Sarah Snook, Noah Taylor",tt2397535,movie,R,9-Jan-15,"Michael Spierig, Peter Spierig, Robert A. Heinlein","Australia, United States",12 wins & 20 nominations,"For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.",no,yes,
Better Days,"Crime, Drama, Romance",135 min,2019,Derek Tsang,7.6,"11,618",97%,"Dongyu Zhou, Jackson Yee, Fang Yin",tt9586294,movie,N/A,25-Oct-19,"Wing-Sum Lam, Yuan Li, Yimeng Xu","China, Hong Kong",Nominated for 1 Oscar. 65 wins & 73 nominations total,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, all while she copes with the pressures of her final examinations.",no,yes,
Wonder,"Drama, Family",113 min,2017,Stephen Chbosky,7.9,"172,184",85%,"Jacob Tremblay, Owen Wilson, Izabela Vidovic",tt2543472,movie,PG,17-Nov-17,"Stephen Chbosky, Steve Conrad, Jack Thorne","United States, Hong Kong, Canada",Nominated for 1 Oscar. 5 wins & 29 nominations total,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the...",no,yes,
Mother and Child,"Drama, Romance",125 min,2009,Rodrigo García,7.2,"12,561",78%,"Naomi Watts, Annette Bening, Kerry Washington",tt1121977,movie,R,2-Jul-10,Rodrigo García,"United States, Spain",4 wins & 12 nominations,"A drama centered around three women: A fifty-year-old woman, the daughter she gave up for adoption thirty-five years ago, and a woman looking to adopt a child of her own.",no,yes,
The Unknown Woman,"Drama, Mystery, Thriller",118 min,2006,Giuseppe Tornatore,7.4,"15,753",68%,"Kseniya Rappoport, Michele Placido, Claudia Gerini",tt0494271,movie,R,20-Oct-06,"Giuseppe Tornatore, Massimo De Rita","Italy, France",21 wins & 26 nominations,"Haunted by a horrible past, a young Ukrainian woman calculatedly insinuates herself into the life of a rich Italian family.",no,yes,
Palmer,Drama,110 min,2021,Fisher Stevens,7.2,"39,526",72%,"Justin Timberlake, Juno Temple, Alisha Wainwright",tt6857376,movie,R,29-Jan-21,Cheryl Guerriero,United States,3 nominations,An ex-convict strikes up a friendship with a boy from a troubled home.,no,yes,
11-Sep,Drama,134 min,2002,"Youssef Chahine, Amos Gitai, Shôhei Imamura",6.9,"5,834",77%,"Maryam Karimi, Mohamad Dolati, Agelem Habibi",tt0328802,movie,Unrated,11-Sep-02,"Alain Brigand, Youssef Chahine, Sabrina Dhawan","United Kingdom, France, Egypt, Japan, Mexico, United States, Iran",3 wins & 1 nomination,The effects of the 9/11 terrorist attacks are told from different points of view around the world.,no,yes,
Before the Flood,"Documentary, News",96 min,2016,Fisher Stevens,8.2,"28,381",75%,"Leonardo DiCaprio, Ban Ki-moon, Alejandro G. Iñárritu",tt5929776,movie,PG,30-Oct-16,Mark Monroe,United States,2 wins & 8 nominations,"A look at how climate change affects our environment and what society can do to prevent the demise of endangered species, ecosystems and native communities across the planet.",no,yes,
Biutiful,"Drama, Romance",148 min,2010,Alejandro G. Iñárritu,7.4,"93,116",66%,"Javier Bardem, Maricel Álvarez, Hanaa Bouchaib",tt1164999,movie,R,4-Feb-11,"Alejandro G. Iñárritu, Armando Bo, Nicolás Giacobone","Mexico, Spain",Nominated for 2 Oscars. 21 wins & 65 nominations total,A man dying of cancer tries his best to leave the world on his own terms.,no,yes,
Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",119 min,2014,Alejandro G. Iñárritu,7.7,"650,050",91%,"Michael Keaton, Zach Galifianakis, Edward Norton",tt2562232,movie,R,14-Nov-14,"Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris",United States,Won 4 Oscars. 192 wins & 293 nominations total,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",no,yes,
Babel,Drama,143 min,2006,Alejandro G. Iñárritu,7.5,"311,095",69%,"Brad Pitt, Cate Blanchett, Gael García Bernal",tt0449467,movie,R,10-Nov-06,"Guillermo Arriaga, Alejandro G. Iñárritu","United States, Mexico, France",Won 1 Oscar. 43 wins & 137 nominations total,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",no,yes,
21 Grams,"Crime, Drama, Thriller",124 min,2003,Alejandro G. Iñárritu,7.6,"241,930",81%,"Sean Penn, Benicio Del Toro, Naomi Watts",tt0315733,movie,R,16-Jan-04,Guillermo Arriaga,United States,Nominated for 2 Oscars. 30 wins & 79 nominations total,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",no,yes,
A Bug's Life,"Animation, Adventure, Comedy",95 min,1998,"John Lasseter, Andrew Stanton",7.2,"304,700",92%,"Kevin Spacey, David Foley, Julia Louis-Dreyfus",tt0120623,movie,G,25-Nov-98,"John Lasseter, Andrew Stanton, Joe Ranft","United States, Japan",Nominated for 1 Oscar. 14 wins & 21 nominations total,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",no,yes,
The Triplets of Belleville,"Animation, Adventure, Comedy",80 min,2003,Sylvain Chomet,7.7,"56,050",N/A,"Michèle Caucheteux, Jean-Claude Donda, Michel Robin",tt0286244,movie,PG-13,13-Feb-04,Sylvain Chomet,"France, Belgium, Canada, United Kingdom, Latvia, United States",Nominated for 2 Oscars. 20 wins & 41 nominations total,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",no,yes,
12 Angry Men,"Crime, Drama",96 min,1957,Sidney Lumet,9,"822,198",100%,"Henry Fonda, Lee J. Cobb, Martin Balsam",tt0050083,movie,Approved,10-Apr-57,Reginald Rose,United States,Nominated for 3 Oscars. 16 wins & 12 nominations total,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,no,yes,
Brother Bear,"Animation, Adventure, Comedy",85 min,2003,"Aaron Blaise, Robert Walker",6.8,"117,873",37%,"Joaquin Phoenix, Jeremy Suarez, Rick Moranis",tt0328880,movie,G,1-Nov-03,"Tab Murphy, Lorne Cameron, David Hoselton","United States, Japan",Nominated for 1 Oscar. 2 wins & 22 nominations total,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.",no,yes,
The Breadwinner,"Animation, Drama, Family",94 min,2017,Nora Twomey,7.7,"27,237",95%,"Saara Chaudry, Soma Chhaya, Noorin Gulamgaus",tt3901826,movie,PG-13,17-Nov-17,"Anita Doron, Deborah Ellis","Ireland, Canada, Luxembourg, United States",Nominated for 1 Oscar. 22 wins & 55 nominations total,"In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.",no,yes,
Waltz with Bashir,"Documentary, Animation, Biography",90 min,2008,Ari Folman,8,"59,276",96%,"Ari Folman, Ron Ben-Yishai, Ronny Dayag",tt1185616,movie,R,12-Jun-08,Ari Folman,"Israel, France, Germany, United States, Finland, Switzerland, Belgium, Australia",Nominated for 1 Oscar. 45 wins & 63 nominations total,An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.,no,yes,
Millennium Actress,"Animation, Drama, Fantasy",87 min,2001,Satoshi Kon,7.8,"30,128",93%,"Miyoko Shôji, Shôzô Îzuka, Mami Koyama",tt0291350,movie,PG,14-Sep-02,"Satoshi Kon, Sadayuki Murai",Japan,6 wins & 8 nominations,A TV interviewer and his cameraman meet a former actress and travel through her memories and career.,no,yes,
Lady and the Tramp,"Animation, Adventure, Comedy",76 min,1955,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",7.3,"142,807",93%,"Barbara Luddy, Larry Roberts, Peggy Lee",tt0048280,movie,G,22-Jun-55,"Ward Greene, Erdman Penner, Joe Rinaldi",United States,Nominated for 1 BAFTA Award2 wins & 2 nominations total,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,no,yes,
The Boy and the World,"Animation, Adventure, Family",80 min,2013,Alê Abreu,7.5,"7,382",93%,"Vinicius Garcia, Marco Aurélio Campos, Lu Horta",tt3183630,movie,PG,17-Jan-14,Alê Abreu,Brazil,Nominated for 1 Oscar. 16 wins & 12 nominations total,A little boy goes on an adventurous quest in search of his father.,no,yes,
When Marnie Was There,"Animation, Drama, Family",103 min,2014,Hiromasa Yonebayashi,7.7,"44,463",92%,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima",tt3398268,movie,PG,7-Aug-15,"Joan G. Robinson, Keiko Niwa, Masashi Andô",Japan,Nominated for 1 Oscar. 4 wins & 18 nominations total,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.",no,yes,
Charlotte's Web,"Adventure, Comedy, Family",97 min,2006,Gary Winick,6.3,"44,906",79%,"Dakota Fanning, Julia Roberts, Oprah Winfrey",tt0413895,movie,G,15-Dec-06,"Susannah Grant, Karey Kirkpatrick, Earl Hamner Jr.","United States, Germany, Australia",10 wins & 11 nominations,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",no,yes,
Fantastic Planet,"Animation, Sci-Fi",72 min,1973,René Laloux,7.7,"34,600",91%,"Barry Bostwick, Jennifer Drake, Eric Baugin",tt0070544,movie,PG,1-Dec-73,"Stefan Wul, Roland Topor, René Laloux","France, Czechoslovakia",1 win & 2 nominations,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",no,yes,
The Secret of NIMH,"Animation, Adventure, Drama",82 min,1982,Don Bluth,7.5,"43,297",93%,"Elizabeth Hartman, Derek Jacobi, Dom DeLuise",tt0084649,movie,G,16-Jul-82,"Robert C. O'Brien, Don Bluth, John Pomeroy",United States,1 win & 2 nominations,"To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she suspected.",no,yes,
Fritz the Cat,"Animation, Comedy, Drama",78 min,1972,Ralph Bakshi,6.2,"13,786",64%,"Skip Hinnant, Rosetta LeNoire, John McCurry",tt0068612,movie,Unrated,14-Apr-72,"Ralph Bakshi, Robert Crumb",United States,N/A,A hypocritical swinging college student cat raises hell in a satiric vision of various elements on the 1960s.,no,yes,
Wallace & Gromit: The Wrong Trousers,"Animation, Short, Comedy",29 min,1993,Nick Park,8.3,"55,787",N/A,Peter Sallis,tt0108598,movie,TV-PG,17-Dec-93,"Nick Park, Bob Baker, Brian Sibley",United Kingdom,Won 1 Oscar. 14 wins & 1 nomination total,"Gromit butts heads with a mysterious penguin lodger, who hatches a sinister scheme involving the ex-NASA Techno Trousers that have been modified by Wallace for walkies.",no,yes,
"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy",81 min,1999,Trey Parker,7.7,"211,003",80%,"Trey Parker, Matt Stone, Mary Kay Bergman",tt0158983,movie,R,30-Jun-99,"Trey Parker, Matt Stone, Pam Brady","United States, Spain",Nominated for 1 Oscar. 7 wins & 11 nominations total,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",no,yes,
The Adventures of Prince Achmed,"Animation, Adventure, Family",80 min,1926,"Lotte Reiniger, Carl Koch",7.8,"6,571",100%,N/A,tt0015532,movie,Not Rated,20-Jun-29,Lotte Reiniger,Germany,N/A,"A handsome prince rides a flying horse to faraway lands and embarks on magical adventures, which include befriending a witch, meeting Aladdin, battling demons and falling in love with a princess.",no,yes,
Yellow Submarine,"Animation, Adventure, Comedy",85 min,1968,George Dunning,7.4,"27,291",97%,"Paul McCartney, George Harrison, Ringo Starr",tt0063823,movie,G,13-Nov-68,"Lee Minoff, John Lennon, Paul McCartney","United Kingdom, United States",2 wins & 2 nominations,The Beatles agree to accompany Captain Fred in his yellow submarine and go to Pepperland to free it from the music-hating Blue Meanies.,no,yes,
Waking Life,"Animation, Drama, Fantasy",99 min,2001,Richard Linklater,7.7,"65,843",80%,"Ethan Hawke, Trevor Jack Brooks, Lorelei Linklater",tt0243017,movie,R,7-Mar-02,Richard Linklater,United States,5 wins & 21 nominations,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,no,yes,
Anomalisa,"Animation, Comedy, Drama",90 min,2015,"Duke Johnson, Charlie Kaufman",7.3,"73,926",91%,"David Thewlis, Jennifer Jason Leigh, Tom Noonan",tt2401878,movie,R,11-Mar-16,Charlie Kaufman,"United Kingdom, United States",Nominated for 1 Oscar. 24 wins & 78 nominations total,A man crippled by the mundanity of his life experiences something out of the ordinary.,no,yes,
Steamboat Willie,"Animation, Short, Comedy",8 min,1928,"Ub Iwerks, Walt Disney",7.5,"10,148",100%,"Charlotte Jamquie, Walt Disney",tt0019422,movie,TV-Y7,1-Jan-29,"Walt Disney, Ub Iwerks",United States,1 win,Mickey Mouse is a mischievous deckhand on a riverboat that is under the command of the tyrannical Captain Pete.,no,yes,
Fantasia,"Animation, Family, Fantasy",124 min,1940,"James Algar, Samuel Armstrong, Ford Beebe Jr.",7.7,"100,578",95%,"Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra",tt0032455,movie,G,19-Sep-41,"Joe Grant, Dick Huemer, Lee Blair",United States,8 wins & 1 nomination,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.",no,yes,
The Secret World of Arrietty,"Animation, Adventure, Drama",94 min,2010,Hiromasa Yonebayashi,7.6,"98,341",94%,"Bridgit Mendler, Amy Poehler, Will Arnett",tt1568921,movie,G,17-Feb-12,"Mary Norton, Hayao Miyazaki, Keiko Niwa",Japan,12 wins & 6 nominations,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter Arrietty is discovered.",no,yes,
The Simpsons Movie,"Animation, Adventure, Comedy",87 min,2007,David Silverman,7.3,"340,974",87%,"Dan Castellaneta, Julie Kavner, Nancy Cartwright",tt0462538,movie,PG-13,27-Jul-07,"James L. Brooks, Matt Groening, Al Jean","United States, South Korea, Germany, North Korea",Won 1 BAFTA Award5 wins & 34 nominations total,"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",no,yes,
Dumbo,"Animation, Adventure, Drama",64 min,1941,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson",7.2,"137,766",98%,"Sterling Holloway, Edward Brophy, Herman Bing",tt0033563,movie,G,31-Oct-41,"Joe Grant, Dick Huemer, Otto Englander",United States,Won 1 Oscar. 5 wins & 1 nomination total,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",no,yes,
Peter Pan,"Animation, Adventure, Family",77 min,1953,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",7.3,"147,808",77%,"Bobby Driscoll, Kathryn Beaumont, Hans Conried",tt0046183,movie,G,5-Feb-53,"J.M. Barrie, Ted Sears, Erdman Penner",United States,2 nominations,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.",no,yes,
The Animatrix,"Animation, Action, Sci-Fi",100 min,2003,"Peter Chung, Andrew R. Jones, Yoshiaki Kawajiri, Takeshi Koike, Mahiro Maeda, Kôji Morimoto, Shin'ichirô Watanabe",7.3,"80,478",89%,"James Arnold Taylor, Julia Fletcher, Dwight Schultz",tt0328832,series,Unrated,21-Mar-03,"Lilly Wachowski (screenplay ""The Matrix""), Lana Wachowski (screenplay ""The Matrix""), Lilly Wachowski, Lana Wachowski, Yoshiaki Kawajiri, Kôji Morimoto, Shin'ichirô Watanabe, Peter Chung","United States, Japan",2 wins & 4 nominations,A collection of nine short films featuring stories related to The Matrix (1999).,no,yes,
The Land Before Time,"Animation, Adventure, Drama",69 min,1988,Don Bluth,7.4,"94,617",65%,"Pat Hingle, Gabriel Damon, Helen Shaver",tt0095489,movie,G,18-Nov-88,"Stu Krieger, Judy Freudberg, Tony Geiss","United States, Ireland",2 nominations,An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.,no,yes,
The Dark Crystal,"Adventure, Family, Fantasy",93 min,1982,"Jim Henson, Frank Oz",7.1,"69,622",77%,"Jim Henson, Kathryn Mullen, Frank Oz",tt0083791,movie,PG,17-Dec-82,"David Odell, Jim Henson","United Kingdom, United States",Nominated for 1 BAFTA Award2 wins & 5 nominations total,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and to restore order to his world.",no,yes,
Lilo & Stitch,"Animation, Adventure, Comedy",85 min,2002,"Dean DeBlois, Chris Sanders",7.3,"202,643",87%,"Daveigh Chase, Chris Sanders, Tia Carrere",tt0275847,movie,PG,21-Jun-02,"Chris Sanders, Dean DeBlois","United States, Japan",Nominated for 1 Oscar. 11 wins & 28 nominations total,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a m...",no,yes,
Anastasia,"Animation, Adventure, Drama",94 min,1997,"Don Bluth, Gary Goldman",7.1,"130,710",84%,"Meg Ryan, John Cusack, Christopher Lloyd",tt0118617,movie,G,21-Nov-97,"Susan Gauthier, Bruce Graham, Bob Tzudiker",United States,Nominated for 2 Oscars. 10 wins & 23 nominations total,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.",no,yes,
The Prince of Egypt,"Animation, Adventure, Drama",99 min,1998,"Brenda Chapman, Steve Hickner, Simon Wells",7.2,"139,679",79%,"Val Kilmer, Ralph Fiennes, Michelle Pfeiffer",tt0120794,movie,PG,18-Dec-98,"Philip LaZebnik, Nicholas Meyer","United States, Canada",Won 1 Oscar. 12 wins & 27 nominations total,Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.,no,yes,
Wolfwalkers,"Animation, Action, Adventure",103 min,2020,"Tomm Moore, Ross Stewart",8,"36,021",99%,"Honor Kneafsey, Eva Whittaker, Sean Bean",tt5198068,movie,PG,13-Nov-20,"Will Collins, Tomm Moore, Ross Stewart","Ireland, Luxembourg, France",Nominated for 1 Oscar. 33 wins & 66 nominations total,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,no,yes,
The Hunchback of Notre Dame,"Animation, Drama, Family",91 min,1996,"Gary Trousdale, Kirk Wise",7,"165,554",71%,"Demi Moore, Jason Alexander, Mary Kay Bergman",tt0116583,movie,G,21-Jun-96,"Tab Murphy, Victor Hugo, Irene Mecchi","United States, Japan",Nominated for 1 Oscar. 8 wins & 26 nominations total,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",no,yes,
Song of the Sea,"Animation, Adventure, Drama",93 min,2014,Tomm Moore,8,"61,313",99%,"David Rawle, Brendan Gleeson, Lisa Hannigan",tt1865505,movie,PG,20-Nov-15,"Will Collins, Tomm Moore","Ireland, Denmark, Belgium, France",Nominated for 1 Oscar. 11 wins & 26 nominations total,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",no,yes,
It's Such a Beautiful Day,"Animation, Comedy, Drama",62 min,2012,Don Hertzfeldt,8.2,"15,063",100%,N/A,tt2396224,movie,Not Rated,21-May-16,N/A,United States,2 nominations,"Bill struggles to put together his shattered psyche, in this new feature film version of Don Hertzfeldt's animated short film trilogy.",no,yes,
Watership Down,"Animation, Adventure, Drama",91 min,1978,"Martin Rosen, John Hubley",7.6,"38,239",79%,"John Hurt, Richard Briers, Ralph Richardson",tt0078480,movie,PG,1-Nov-78,"Richard Adams, John Hubley, Martin Rosen",United Kingdom,1 win & 4 nominations,"Hoping to escape destruction by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek out a safe place to set up a new warren.",no,yes,
Consuming Spirits,"Animation, Comedy, Drama",136 min,2012,Chris Sullivan,7.6,279,89%,"Nancy Andrews, Chris Sullivan, Judith Rafael",tt2253947,movie,Not Rated,12-Dec-12,Chris Sullivan,United States,2 wins & 1 nomination,"Consuming Spirits is an independent feature animation chronicling the lives of three characters who live in a rust belt town called Magguson, and work at its local newspaper The Daily Suggester. They are: Gentian Violet 42, Victor...",no,yes,
When the Wind Blows,"Animation, Drama, War",84 min,1986,Jimmy T. Murakami,7.7,"11,871",88%,"Peggy Ashcroft, John Mills, Robin Houston",tt0090315,movie,Not Rated,11-Mar-88,Raymond Briggs,United Kingdom,1 nomination,A naive elderly British rural couple survive the initial onslaught of a nuclear war.,no,yes,
