Title,Genre,Runtime,Year,Director,IMDB Rating,IMDB Votes,Rotten Tomatoes,Actors,IMDB ID,Type,Rated,Released,Writer,Country,Awards,Plot,Watched,I Want to Watch
Requiem for a Dream,Drama,102 min,2000,Darren Aronofsky,8.3,"869,249",78%,"Ellen Burstyn, Jared Leto, Jennifer Connelly",tt0180093,movie,Unrated,15-Dec-00,"Hubert Selby Jr., Darren Aronofsky",United States,Nominated for 1 Oscar. 37 wins & 69 nominations total,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,no,yes,
Capernaum,Drama,126 min,2018,Nadine Labaki,8.4,"97,618",90%,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole",tt8267604,movie,R,20-Sep-18,"Nadine Labaki, Jihad Hojeily, Michelle Keserwany","Lebanon, France, Cyprus, Qatar, United Kingdom",Nominated for 1 Oscar. 39 wins & 55 nominations total,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",no,yes,
Come and See,"Drama, Thriller, War",142 min,1985,Elem Klimov,8.4,"88,205",90%,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius",tt0091251,movie,Not Rated,3-Sep-85,"Ales Adamovich, Elem Klimov",Soviet Union,3 wins,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",no,yes,
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",131 min,1983,Richard Marquand,8.3,"1,087,569",83%,"Mark Hamill, Harrison Ford, Carrie Fisher",tt0086190,movie,PG,25-May-83,"Lawrence Kasdan, George Lucas",United States,Nominated for 4 Oscars. 23 wins & 20 nominations total,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",no,yes,
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",108 min,2004,Michel Gondry,8.3,"1,038,835",92%,"Jim Carrey, Kate Winslet, Tom Wilkinson",tt0338013,movie,R,19-Mar-04,"Charlie Kaufman, Michel Gondry, Pierre Bismuth",United States,Won 1 Oscar. 73 wins & 111 nominations total,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",no,yes,
The Hunt,Drama,115 min,2012,Thomas Vinterberg,8.3,"347,265",92%,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp",tt2106476,movie,R,10-Jan-13,"Thomas Vinterberg, Tobias Lindholm","Denmark, Sweden",Nominated for 1 Oscar. 38 wins & 73 nominations total,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...",no,yes,
Reservoir Dogs,"Crime, Thriller",99 min,1992,Quentin Tarantino,8.3,"1,052,637",90%,"Harvey Keitel, Tim Roth, Michael Madsen",tt0105236,movie,R,2-Sep-92,"Quentin Tarantino, Roger Avary",United States,12 wins & 23 nominations,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",no,yes,
Ikiru,Drama,143 min,1952,Akira Kurosawa,8.3,"83,057",98%,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",tt0044741,movie,Not Rated,25-Mar-56,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",Japan,Nominated for 1 BAFTA Award6 wins & 2 nominations total,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,no,yes,
Lawrence of Arabia,"Adventure, Biography, Drama",218 min,1962,David Lean,8.3,"303,509",94%,"Peter O'Toole, Alec Guinness, Anthony Quinn",tt0056172,movie,Approved,11-Dec-62,"Robert Bolt, Michael Wilson",United Kingdom,Won 7 Oscars. 31 wins & 14 nominations total,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",no,yes,
Citizen Kane,"Drama, Mystery",119 min,1941,Orson Welles,8.3,"454,103",99%,"Orson Welles, Joseph Cotten, Dorothy Comingore",tt0033467,movie,PG,5-Sep-41,"Herman J. Mankiewicz, Orson Welles, John Houseman",United States,Won 1 Oscar. 11 wins & 13 nominations total,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",no,yes,
